	URL
60	https://rever.vn/mua/can-ho-him-lam-cho-lon-tang-cao-don-view-ho-boi-du-noi-that
61	https://rever.vn/mua/mls-nha-huong-tay-1-tret-2-lau-hem-duong-le-tu-phap-ly-ro-rang
62	https://rever.vn/mua/can-ho-saigon-homes-tang-trung-ban-cong-huong-dong-bac
63	https://rever.vn/mua/can-ho-tecco-green-nest-tang-trung-day-du-noi-that-cao-cap-tien-nghi
64	https://rever.vn/mua/can-ho-officetel-the-sun-avenue-tang-cao-thiet-ke-gam-mau-vang-tuoi
65	https://rever.vn/mua/office-tel-florita-tang-thap-noi-that-co-ban-view-thanh-pho
66	https://rever.vn/mua/can-ho-tang-trung-river-panorama-ban-cong-huong-bac
67	https://rever.vn/mua/ban-can-ho-q7-saigon-riverside-thuoc-tang-cao-noi-that-co-ban
68	https://rever.vn/mua/can-ho-tang-trung-picity-high-park-ban-cong-huong-dong-bac
69	https://rever.vn/mua/nha-pho-gan-dai-hoc-van-lang-huong-tay-hem-xe-hoi-5m
70	https://rever.vn/mua/ban-nha-cach-cau-tan-thuan-khoang-500m-dien-tich-14-13m2-dien-tich-san-28-26m2-noi-that-co-ban-so-hong-day-du
71	https://rever.vn/mua/can-ho-sunshine-city-saigon-tang-cao-don-gio-noi-that-co-ban
72	https://rever.vn/mua/nha-pho-quan-11-huong-dong-nam-gan-vong-xoay-le-dai-hanh
73	https://rever.vn/mua/can-ho-vinhomes-grand-park-view-song-va-thanh-pho-thoang-mat
74	https://rever.vn/mua/can-ho-akari-city-tang-5-ban-giao-noi-that-co-ban-thiet-ke-hien-dai
75	https://rever.vn/mua/villa-compound-riviera-quan-2-thiet-ke-sang-trong-day-du-tien-nghi
76	https://rever.vn/mua/can-ho-tang-cao-opal-boulevard-huong-tay-bac-thoang-mat
77	https://rever.vn/mua/mls-nha-pho-1-tret-1-lau-hem-duong-quang-trung-noi-that-co-ban
78	https://rever.vn/mua/can-ho-sunrise-city-1-phong-ngu-huong-dong
79	https://rever.vn/mua/can-ho-vinhomes-golden-river-tang-cao-noi-that-day-du
80	https://rever.vn/mua/can-ho-tang-trung-picity-high-park-2-phong-ngu-view-thoang-mat
81	https://rever.vn/mua/nha-pho-binh-thanh-huong-tay-nam-dien-tich-7m-x14m-noi-that-co-ban
82	https://rever.vn/mua/can-ho-chung-cu-hoang-anh-gia-lai-2-view-song-dep-thoang-mat
83	https://rever.vn/mua/can-ho-estella-heights-day-du-noi-that-view-thoang-mat
84	https://rever.vn/mua/mls-can-ho-celadon-city-tang-trung-ban-cong-thoang-mat
85	https://rever.vn/mua/ban-nha-so-hem-pham-van-dong-thu-duc-so-hong-cach-mat-tien-pham-van-dong-200m
86	https://rever.vn/mua/ban-can-ho-tran-tuan-khai-huong-cua-dong-bac-gan-trung-tam
87	https://rever.vn/mua/nha-pho-huong-dong-bac-hem-xe-hoi-4m-dien-tich-29-5m2
88	https://rever.vn/mua/can-ho-vinhomes-grand-park-tang-cao-huong-ngoai-khu-1
89	https://rever.vn/mua/ban-can-ho-tang-cao-q7-saigon-riverside-view-song-sai-gon-cau-phu-my
90	https://rever.vn/mua/banh-nha-pho-hem-duong-pham-ngu-lao-phuong-pham-ngu-lao-quan-1-dien-tich-dat-24-8m2-dien-tich-san-62-9m2
91	https://rever.vn/mua/can-ho-vinhomes-grand-park-tang-cao-view-landmark-81
92	https://rever.vn/mua/ban-can-ho-2-phong-ngu-tang-cao-day-du-noi-that-masteri-millennium
93	https://rever.vn/mua/can-ho-kingston-residence-tang-trung-noi-that-tien-nghi
94	https://rever.vn/mua/nha-pho-huong-tay-nam-ban-giao-so-hong-rieng
95	https://rever.vn/mua/can-ho-vinhomes-grand-park-ban-cong-huong-tay-nam-tang-thap
96	https://rever.vn/mua/nha-pho-quan-6-huong-dong-dien-tich-51-9m2-thuan-tien-kinh-doanh
97	https://rever.vn/mua/nha-pho-huong-tay-bac-thiet-ke-vo-cung-hien-dai-noi-that-cao-cap
98	https://rever.vn/mua/can-ho-dao-kim-cuong-tang-thap-view-noi-khu-thoang-mat-1
99	https://rever.vn/mua/mls-nha-pho-hem-xe-hoi-khu-vuc-an-ninh-cach-cong-an-phuong-50m
100	https://rever.vn/mua/can-ho-officetel-kingston-residence-huong-dong-bac-thoang-mat
101	https://rever.vn/mua/can-ho-tang-cao-thap-c-the-parcspring
102	https://rever.vn/mua/can-ho-d-lusso-ban-gioa-noi-that-co-ban-ban-cong-huong-dong-nam
103	https://rever.vn/mua/can-ho-diamond-riverside-ban-cong-huong-bac-noi-that-co-ban-1
